Leg,Leg Distance,Accumulated Distance,Rank,Category
1,4.07,5.22,17,3
2,5.34,10.56,24,2
3,4.86,15.42,18,3
4,4.08,19.5,26,2
5,3.92,23.42,33,1
6,4.1,27.52,29,1
7,3.71,31.23,31,1
8,5.18,36.41,16,3
9,4.68,41.09,23,2
10,3.97,45.06,32,1
11,4.31,49.37,28,1
12,6.13,55.5,3,4
13,6.05,61.55,6,4
14,6.38,67.93,2,4
15,5.33,73.26,15,3
16,6.35,79.61,5,4
17,6.78,86.39,9,4
18,4.42,90.81,30,1
19,3.7,94.51,34,1
20,6.82,101.33,7,4
21,6.82,108.15,10,4
22,2.84,110.99,35,1
23,6.52,117.51,11,3
24,5.05,122.56,25,2
25,6.08,128.64,14,3
26,6.4,135.04,12,3
27,2.79,137.83,36,1
28,5.02,142.85,19,2
29,4.69,147.54,22,2
30,6.08,153.62,13,3
31,5.32,158.94,20,2
32,6.79,165.73,8,4
33,6.61,172.34,4,4
34,4.82,177.16,27,2
35,4.67,181.83,21,2
36,6.65,188.48,1,4
